screen_name,user_name,status_id,url,title,published_date,geoLocation
"HasdiBravo","Hasdi Bravo 📎","1054039827128102912","Not Available","@MarkDaVinciGrp @BeauWillimon @staceyabrams @BrianKempGA What kind of democracy is it when a vast majority of Georgian electorates want one candidate to win but the other side won by illegal means? Government won by weak mandate deserves to crumble by its own weight of corruption.🤔","Sun Oct 21 12:00:52 EDT 2018",
"FiveMeadows","Deb","1054039832085913600","Not Available","G     E     O     R     G     I     A  
G     E     O     R     G     I     A 
G     E     O     R     G     I     A 
G     E     O     R     G     I     A 
G     E     O     R     G     I     A  
G     E     O     R     G     I     A 

🙏🏾👉🏾PLEASE VOTE EARLY👈🏾🙏🏾 https://t.co/IERJsGRmCy","Sun Oct 21 12:00:53 EDT 2018",
"Mainekindxl","Rick A.","1054039849177698305","Not Available","Someone should tell our #BigotPresident that ⁦@staceyabrams⁩ has a degree from Yale Law School & 17 years of political experience.

Drop Stacey a donation today to help fuel her GOTV efforts & elect the nation's first African-American woman governor. https://t.co/mqlemtOGdX","Sun Oct 21 12:00:57 EDT 2018",
"dcTakeDown","🦇🕸 😳 ᗪ 卂 几 丨 乇 ㄥ 乇 ✌💙 🔪🖤","1054039850402435073","Not Available","In Georgia, they've: 

Purged 50,000 voters, 70% of them Black.

Tossed absentee ballots. 

Stopped a BUS of people from early voting.

Why? @StaceyAbrams, a fierce black progressive woman bringing to Georgia, terrifies them.

Voter suppression in 2018.

https://t.co/MHND8mltnu","Sun Oct 21 12:00:58 EDT 2018",
"crypticcat","Resist Corp.","1054039873626099712","Not Available","Someone should tell our #BigotPresident @realDonaldTrump that @StaceyAbrams has a degree from Yale Law School and 17 years of political experience.
 https://t.co/uYotXZ3Oct #VoteAbrams","Sun Oct 21 12:01:03 EDT 2018",
"scoperodgers","Terreta ScopeRodgers","1054039885445763073","Not Available","Paulding County showed up for @staceyabrams on Friday  #IamwithStacey https://t.co/NeY02iD5CU","Sun Oct 21 12:01:06 EDT 2018",
"SonjaNorman16","SonjaN50","1054039915107889153","Not Available","@jasonesteves @staceyabrams @GeorgiaDemocrat Smart kid 👍🏼","Sun Oct 21 12:01:13 EDT 2018",
"horsecrazybean","cindy b","1054039925400764416","Not Available","#TeamAbrams presents...the Get Out The Vote Challenge! 👀🔥 (Thank you, @jayrock!)

Think you can do it better? Vote early, help us get out the vote, then post your video using #GetOutTheVoteChallenge! 

https://t.co/UacWMDnZvx @staceyabrams #gapol https://t.co/zmpdfOOj41","Sun Oct 21 12:01:15 EDT 2018",
"JennnnChura","Jen with one “N” 🌊","1054039926138908675","Not Available","Fuck this weasel.  Don’t let him threaten your RIGHT. Make sure you’re registered and VOTE @staceyabrams https://t.co/Iw64vLJ4kK","Sun Oct 21 12:01:16 EDT 2018",
"mamahotone2010","Hot Mama 🇨🇦 🇨🇦","1054039928307216387","Not Available","Someone should tell our #BigotPresident that ⁦@staceyabrams⁩ has a degree from Yale Law School & 17 years of political experience.

Drop Stacey a donation today to help fuel her GOTV efforts & elect the nation's first African-American woman governor. https://t.co/mqlemtOGdX","Sun Oct 21 12:01:16 EDT 2018",
"lyladiaz","lyladiaz","1054039942026776576","Not Available","“This November, for our youth, for our health, and for our lives, Georgia must hand the governor’s pen to @StaceyAbrams.” - @HRC President @ChadHGriffin
https://t.co/pKSeR5k7jf","Sun Oct 21 12:01:19 EDT 2018",
"FruleinK1","Fräulein #VoteNovember6th K. 🇬🇧🇫🇷🇨🇮🇩🇪","1054039950251974661","Not Available","My 3yr old knows what it takes to elect @staceyabrams #GAGov!

At this point, he has knocked on more doors than I did in the first 25 years of my life! #Gapol @GeorgiaDemocrat #GOTV https://t.co/raXdx2DWbd","Sun Oct 21 12:01:21 EDT 2018",
"JeremyMallin","Jeremy Mallin","1054039970766352386","https://t.co/OvVplor7Tn","This also is happening in Detroit: https://t.co/OvVplor7Tn https://t.co/nCimj9fRt9","Sun Oct 21 12:01:26 EDT 2018",
"TraciGregory","TraciGregory🥀","1054039974071414784","Not Available","We're going everywhere to talk with voters about the issues that matter.

Because this race won't be won on social media. It will be won on the ground, at voters' doors, talking about our shared values & plans to move GA forward. https://t.co/LL7fO3Vp8D 

https://t.co/Cd8rosVE57","Sun Oct 21 12:01:27 EDT 2018",
"stayintouchDB","stayintouchDB","1054040002164899840","Not Available","My 3yr old knows what it takes to elect @staceyabrams #GAGov!

At this point, he has knocked on more doors than I did in the first 25 years of my life! #Gapol @GeorgiaDemocrat #GOTV https://t.co/raXdx2DWbd","Sun Oct 21 12:01:34 EDT 2018",
