screen_name,user_name,status_id,url,title,published_date,geoLocation
"Jacque_Sonne","Jenn Jackson","1053264952750940166","Not Available","Georgia- If you are an independent voter and you see how many black people are being turned  away from the polls, it would be great to cast your vote in honor of those still being oppressed by racist republicans. If you believe in fairness and equality, vote for @staceyabrams","Fri Oct 19 08:41:48 EDT 2018",
"SpectorFaustus","Faustus Spector #TeamAbrams","1053264954357374976","Not Available","We're locked in the closest governor's race in the U.S.

The stakes could not be higher. The choice we face could not be more clear.

We only have 18 days to finish what we started. Donate to support voter outreach and let's get it done for Georgia: https://t.co/4I5jqEdWgJ #gapol https://t.co/tyxx9Et0cy","Fri Oct 19 08:41:48 EDT 2018",
"DrJ3ckyll","John","1053264960166359040","Not Available","Socialism is the opposite of the Republic and what the constitution set up to protect us from. #FakeNews has failed in their mission to uphold their 1A charge to be our voice against this.","Fri Oct 19 08:41:49 EDT 2018",
"MetroCOLA","Metro COLA","1053264979552620545","https://t.co/rj9sidOtyT","MetroCOLA is out! News from around the Mid-Chatt area: https://t.co/rj9sidOtyT Stories ~ @LedgerEnquirer @bettergeorgia @bluestein #georgia #gapol","Fri Oct 19 08:41:54 EDT 2018",
"oldwoman4crypto","CandyCarlsen1","1053264990386434049","Not Available",""We Are Georgia" Bus Tour: Day Four ✅

Today, we got out the vote in Griffin and Stockbridge – and we're just getting started! Tomorrow, we’ll be in Dalton, Rome, Cartersville, Hiram, & Douglasville.

Make a plan to vote early, then join us on the road:
https://t.co/l8txdCmATa https://t.co/2fpJCPhxdy","Fri Oct 19 08:41:57 EDT 2018",
"1292Borja","Sojourners","1053264991980273665","Not Available","#VoteRed enough with #LiberalAgenda #DemocratHypocrisy #DemocratLies inciting #Violence #Lawlessness #Racism #Sedition putting #UndocumentedIllegals over #TrueAmericanCitizens #WakeUpAmerica  @FoxNews @BrianKempGA @VP @realDonaldTrump @JohnJamesMI @RealSaavedra @RealErinCruz","Fri Oct 19 08:41:57 EDT 2018",
"AnnAtkinson42","Ann Atkinson","1053264995973181441","Not Available","Georgia- If you are an independent voter and you see how many black people are being turned  away from the polls, it would be great to cast your vote in honor of those still being oppressed by racist republicans. If you believe in fairness and equality, vote for @staceyabrams","Fri Oct 19 08:41:58 EDT 2018",
"Dukie_Drew","Drew","1053265001643950083","Not Available","We're locked in the closest governor's race in the U.S.

The stakes could not be higher. The choice we face could not be more clear.

We only have 18 days to finish what we started. Donate to support voter outreach and let's get it done for Georgia: https://t.co/4I5jqEdWgJ #gapol https://t.co/tyxx9Et0cy","Fri Oct 19 08:41:59 EDT 2018",
"Bbwsuperstarxxx","Warm Soft Nookie 💦","1053265022426714112","Not Available","@staceyabrams @davidbanner 💪🏾","Fri Oct 19 08:42:04 EDT 2018",
"AbstractPoetic1","L-BQQGIE ⚡","1053265030827962374","Not Available","Thank you to everyone who marched with #TeamAbrams in #AtlantaPride 2018! We made history as Georgia's FIRST major party nominee for #GAGov to participate in Pride. 

Let's make history again in 19 days. Vote early and volunteer to turn out more voters:
https://t.co/HztWWiMvrH https://t.co/yBs1Vmvp0W","Fri Oct 19 08:42:06 EDT 2018",
"Laurenajr","Lajr","1053265033038389250","Not Available","Radical Stacey Abrams wants to change Georgia with government-run healthcare, $13,000 in higher taxes, sanctuary cities, welfare and voting rights for illegal immigrants. RT if you agree that hardworking Georgians can't afford Abrams' extreme agenda! #gapol #tcot #gagop https://t.co/pDBmznPcKy","Fri Oct 19 08:42:07 EDT 2018",
"bichsBtripn","Ben Dover","1053265032891547649","Not Available","@GaRepublicans @BrianKempGA https://t.co/uEiJBV2uWr","Fri Oct 19 08:42:07 EDT 2018",
"JMRooker","Spooky McRookerson","1053265037215690753","Not Available","Fun fact: the Georgia Secretary of State's office is informally advising county managers to bump their orders for paper ballots by 10%","Fri Oct 19 08:42:08 EDT 2018",
"Katierz","Public Health Influenzer™️","1053265061970624512","Not Available","We're locked in the closest governor's race in the U.S.

The stakes could not be higher. The choice we face could not be more clear.

We only have 18 days to finish what we started. Donate to support voter outreach and let's get it done for Georgia: https://t.co/4I5jqEdWgJ #gapol https://t.co/tyxx9Et0cy","Fri Oct 19 08:42:14 EDT 2018",
"Markcusbailey","marcus Bailey","1053265077820932096","Not Available","@UNG_Republicans @BrianKempGA @GeoffDuncanGA The RepubliCONS can't run on their tax cut because it's not good. The president next con is telling the the smart Americans this "all Republicans support people with pre-existing conditions, and if they don’t, they will after I speak to them. I am in total support".THIS IS A LIE!","Fri Oct 19 08:42:17 EDT 2018",
"DonnaCr45","DonnaBeachLife🐚🐠🐬","1053265083885850624","Not Available","@AtlantaHumanist @dandrewdill @BrianKempGA @universityofga I have heard him...I already voted for him...And I read the report on that....But thanks anyway...I got this...","Fri Oct 19 08:42:19 EDT 2018",
"mrgoodbear2","Xavier Martin","1053265084431122432","Not Available","Stop the #InKempetent @BrianKempGA This #November6 fote for @staceyabrams for #GovernorofGeorgia","Fri Oct 19 08:42:19 EDT 2018",
"sbarkscoop","Sbarkscoop","1053265087396503552","Not Available","We're locked in the closest governor's race in the U.S.

The stakes could not be higher. The choice we face could not be more clear.

We only have 18 days to finish what we started. Donate to support voter outreach and let's get it done for Georgia: https://t.co/4I5jqEdWgJ #gapol https://t.co/tyxx9Et0cy","Fri Oct 19 08:42:20 EDT 2018",
